SourceSite;TravelTime in sec;DestinationSite
HUB_001;0;HUB_001
HUB_001;1530;STO_002
HUB_001;785;STO_003
HUB_001;2356;STO_004
HUB_001;2192;STO_005
HUB_001;1620;STO_006
HUB_001;1837;STO_007
HUB_001;2001;STO_008
HUB_001;1433;STO_009
HUB_001;2738;STO_010
HUB_001;3141;STO_011
HUB_001;3051;STO_012
HUB_001;2563;STO_013
HUB_001;2871;STO_014
HUB_001;889;STO_015
HUB_001;2070;STO_016
HUB_001;929;STO_017
HUB_001;902;STO_018
HUB_001;2528;STO_019
HUB_001;2493;STO_020
HUB_001;1834;STO_021
HUB_001;2489;STO_022
HUB_001;2094;STO_023
HUB_001;1971;STO_024
HUB_001;3560;STO_025
HUB_001;1650;STO_026
HUB_001;2630;STO_027
HUB_001;253;STO_028
HUB_001;3230;STO_029
HUB_001;1897;STO_030
HUB_001;3124;STO_031
HUB_001;1727;STO_032
HUB_001;2218;STO_033
HUB_001;2218;STO_034
HUB_001;1599;STO_035
HUB_001;1763;STO_036
HUB_001;2518;STO_037
HUB_001;1271;STO_038
HUB_001;2451;STO_039
HUB_001;765;STO_040
HUB_001;1029;STO_041
HUB_001;2359;STO_042
HUB_001;243;STO_043
HUB_001;2958;STO_044
HUB_001;2139;STO_045
HUB_001;849;STO_046
HUB_001;1871;STO_047
HUB_001;2490;STO_048
STO_002;1530;HUB_001
STO_002;0;STO_002
STO_002;2304;STO_003
STO_002;1683;STO_004
STO_002;2105;STO_005
STO_002;1310;STO_006
STO_002;1898;STO_007
STO_002;772;STO_008
STO_002;630;STO_009
STO_002;2510;STO_010
STO_002;3550;STO_011
STO_002;2422;STO_012
STO_002;2781;STO_013
STO_002;3562;STO_014
STO_002;2321;STO_015
STO_002;1024;STO_016
STO_002;1989;STO_017
STO_002;1163;STO_018
STO_002;1267;STO_019
STO_002;1842;STO_020
STO_002;967;STO_021
STO_002;1477;STO_022
STO_002;2511;STO_023
STO_002;461;STO_024
STO_002;2734;STO_025
STO_002;2840;STO_026
STO_002;2273;STO_027
STO_002;1732;STO_028
STO_002;3973;STO_029
STO_002;3015;STO_030
STO_002;2142;STO_031
STO_002;488;STO_032
STO_002;2166;STO_033
STO_002;1536;STO_034
STO_002;1126;STO_035
STO_002;2998;STO_036
STO_002;1388;STO_037
STO_002;625;STO_038
STO_002;1883;STO_039
STO_002;1750;STO_040
STO_002;2398;STO_041
STO_002;1322;STO_042
STO_002;1763;STO_043
STO_002;2108;STO_044
STO_002;1675;STO_045
STO_002;1020;STO_046
STO_002;523;STO_047
STO_002;1371;STO_048
STO_003;785;HUB_001
STO_003;2304;STO_002
STO_003;0;STO_003
STO_003;3041;STO_004
STO_003;2726;STO_005
STO_003;2295;STO_006
STO_003;2368;STO_007
STO_003;2699;STO_008
STO_003;2206;STO_009
STO_003;3270;STO_010
STO_003;3361;STO_011
STO_003;3688;STO_012
STO_003;2931;STO_013
STO_003;2950;STO_014
STO_003;336;STO_015
STO_003;2832;STO_016
STO_003;1180;STO_017
STO_003;1599;STO_018
STO_003;3302;STO_019
STO_003;3165;STO_020
STO_003;2586;STO_021
STO_003;3232;STO_022
STO_003;2426;STO_023
STO_003;2733;STO_024
