"Month","Day","SiteName","Temperature","DemandPallets"
"January",2,"STO_002","Ambient",7
"January",2,"STO_002","Chilled",2
"January",2,"STO_002","Frozen",1
"January",2,"STO_002","Temp cont.",12
"January",2,"STO_003","Ambient",16
"January",2,"STO_003","Chilled",2
"January",2,"STO_003","Frozen",1
"January",2,"STO_003","Temp cont.",8
"January",2,"STO_004","Ambient",15
"January",2,"STO_004","Chilled",6
"January",2,"STO_004","Frozen",2
"January",2,"STO_004","Temp cont.",7
"January",2,"STO_005","Ambient",31
"January",2,"STO_005","Chilled",14
"January",2,"STO_005","Frozen",2
"January",2,"STO_005","Temp cont.",11
"January",2,"STO_006","Ambient",15
"January",2,"STO_006","Chilled",8
"January",2,"STO_006","Frozen",1
"January",2,"STO_006","Temp cont.",9
"January",2,"STO_007","Ambient",10
"January",2,"STO_007","Chilled",7
"January",2,"STO_007","Temp cont.",12
"January",2,"STO_008","Ambient",6
"January",2,"STO_008","Chilled",2
"January",2,"STO_008","Frozen",1
"January",2,"STO_008","Temp cont.",17
"January",2,"STO_009","Temp cont.",6
"January",2,"STO_010","Ambient",7
"January",2,"STO_010","Chilled",2
"January",2,"STO_010","Frozen",1
"January",2,"STO_010","Temp cont.",12
"January",2,"STO_011","Frozen",1
"January",2,"STO_011","Temp cont.",23
