"Pseudonym";"Delivery days";"ServiceTimeFrom";"ServiceTimeTo"
"STO_002";"Mo-Sa";"01:00";"00:00"
"STO_003";"Mo-Sa";"01:00";"00:00"
"STO_004";"Mo-Sa";"01:00";"00:00"
"STO_005";"Mo-Sa";"01:00";"00:00"
"STO_006";"Mo-Sa";"01:00";"00:00"
"STO_007";"Mo-Sa";"01:00";"00:00"
"STO_008";"Mo-Sa";"06:00";"22:00"
"STO_009";"Mo-Sa";"20:00";"00:00"
"STO_010";"Mo-Sa";"06:00";"22:00"
"STO_011";"Mo-Sa";"06:00";"22:00"
"STO_012";"Mo-Sa";"01:00";"00:00"
"STO_013";"Mo-Sa";"01:00";"00:00"
"STO_014";"Mo-Sa";"06:00";"12:00"
"STO_015";"Mo-Sa";"06:00";"22:00"
"STO_016";"Mo-Sa";"06:00";"22:00"
"STO_017";"Mo-Sa";"06:00";"22:00"
"STO_018";"Mo-Sa";"01:00";"00:00"
"STO_019";"Mo-Sa";"01:00";"00:00"
"STO_020";"Mo-Sa";"01:00";"00:00"
"STO_021";"Mo-Sa";"20:00";"00:00"
"STO_022";"Mo-Sa";"01:00";"00:00"
"STO_023";"Mo-Sa";"01:00";"00:00"
"STO_024";"Mo-Sa";"01:00";"00:00"
"STO_025";"Mo-Sa";"01:00";"00:00"
"STO_026";"Mo-Sa";"01:00";"00:00"
"STO_027";"Mo-Sa";"01:00";"00:00"
"STO_028";"Mo-Sa";"20:00";"00:00"
"STO_029";"Mo-Sa";"01:00";"00:00"
"STO_030";"Mo-Sa";"01:00";"00:00"
"STO_031";"Mo-Sa";"01:00";"00:00"
"STO_032";"Mo-Sa";"01:00";"00:00"
"STO_033";"Mo-Sa";"01:00";"00:00"
"STO_034";"Mo-Sa";"01:00";"00:00"
"STO_035";"Mo-Sa";"01:00";"00:00"
"STO_036";"Mo-Sa";"01:00";"00:00"
"STO_037";"Mo-Sa";"01:00";"00:00"
"STO_038";"Mo-Sa";"01:00";"00:00"
