"Pseudonym";"Delivery days";"ServiceTimeFrom";"ServiceTimeTo"
"STO_009";"Mo-Sa";"20:00";"00:00"
"STO_021";"Mo-Sa";"20:00";"00:00"
"STO_028";"Mo-Sa";"20:00";"00:00"
"STO_048";"Mo-Sa";"20:00";"00:00"
"STO_062";"Mo-Sa";"22:00";"00:00"
"STO_072";"Mo-Sa";"22:00";"00:00"
"STO_106";"Mo-Sa";"20:00";"00:00"
"STO_122";"Mo-Sa";"20:00";"00:00"
"STO_136";"Mo-Sa";"22:00";"00:00"
"STO_398";"Mo-Sa";"21:00";"00:00"
"STO_008";"Mo-Sa";"06:00";"22:00"
"STO_009";"Mo-Sa";"20:00";"00:00"
"STO_010";"Mo-Sa";"06:00";"22:00"
"STO_011";"Mo-Sa";"06:00";"22:00"
"STO_014";"Mo-Sa";"06:00";"12:00"
"STO_015";"Mo-Sa";"06:00";"22:00"
"STO_016";"Mo-Sa";"06:00";"22:00"
"STO_017";"Mo-Sa";"06:00";"22:00"
"STO_021";"Mo-Sa";"20:00";"00:00"
"STO_028";"Mo-Sa";"20:00";"00:00"
"STO_040";"Mo-Sa";"06:00";"22:00"
"STO_046";"Mo-Sa";"06:00";"22:00"
"STO_048";"Mo-Sa";"20:00";"00:00"
"STO_051";"Mo-Sa";"06:00";"22:00"
"STO_052";"Mo-Sa";"06:00";"22:00"
"STO_062";"Mo-Sa";"22:00";"00:00"
"STO_066";"Mo-Sa";"06:00";"22:00"
"STO_072";"Mo-Sa";"22:00";"00:00"
"STO_076";"Mo-Sa";"06:00";"22:00"
"STO_080";"Mo-Sa";"06:00";"22:00"
"STO_084";"Mo-Sa";"06:00";"22:00"
"STO_089";"Mo-Sa";"06:15";"22:00"
"STO_090";"Mo-Sa";"06:00";"08:00"
"STO_096";"Mo-Sa";"06:00";"22:00"
"STO_100";"Mo-Sa";"06:00";"22:00"
"STO_102";"Mo-Sa";"07:00";"20:00"
"STO_103";"Mo-Sa";"06:00";"22:00"
"STO_104";"Mo-Sa";"06:00";"22:00"
"STO_106";"Mo-Sa";"20:00";"00:00"
"STO_107";"Mo-Sa";"06:00";"22:00"
"STO_109";"Mo-Sa";"06:00";"22:00"
"STO_110";"Mo-Sa";"06:00";"22:00"
"STO_111";"Mo-Sa";"06:00";"22:00"
"STO_113";"Mo-Sa";"20:00";"22:00"
"STO_114";"Mo-Sa";"06:00";"22:00"
"STO_115";"Mo-Sa";"06:00";"20:00"
